threshold,sensitivity,specificity,precision,f1_score,balanced_accuracy,false_negatives,false_positives,fn_rate,fp_rate,ece_at_model_level,uvif_threshold_utility
0.74,0.9923076923076923,0.7307692307692307,0.86,0.9214285714285714,0.8615384615384616,3,63,0.007692307692307693,0.2692307692307692,0.320399845421959,0.7859435319413206
0.75,0.9923076923076923,0.7393162393162394,0.8638392857142857,0.9236276849642004,0.8658119658119658,3,61,0.007692307692307693,0.2606837606837607,0.320399845421959,0.7898407448202608
0.76,0.9923076923076923,0.7393162393162394,0.8638392857142857,0.9236276849642004,0.8658119658119658,3,61,0.007692307692307693,0.2606837606837607,0.320399845421959,0.7898407448202608
0.77,0.9923076923076923,0.7393162393162394,0.8638392857142857,0.9236276849642004,0.8658119658119658,3,61,0.007692307692307693,0.2606837606837607,0.320399845421959,0.7898407448202608
0.78,0.9923076923076923,0.7393162393162394,0.8638392857142857,0.9236276849642004,0.8658119658119658,3,61,0.007692307692307693,0.2606837606837607,0.320399845421959,0.7898407448202608
0.79,0.9923076923076923,0.7478632478632479,0.8677130044843049,0.9258373205741627,0.8700854700854701,3,59,0.007692307692307693,0.25213675213675213,0.320399845421959,0.793744700968711
0.8,0.9897435897435898,0.7478632478632479,0.8674157303370786,0.9245508982035928,0.8688034188034188,4,59,0.010256410256410256,0.25213675213675213,0.320399845421959,0.7918404798243748
0.81,0.9897435897435898,0.7521367521367521,0.8693693693693694,0.9256594724220624,0.870940170940171,4,58,0.010256410256410256,0.24786324786324787,0.320399845421959,0.7937955383077154
0.8200000000000001,0.9871794871794872,0.7521367521367521,0.8690744920993227,0.9243697478991597,0.8696581196581197,5,58,0.01282051282051282,0.24786324786324787,0.320399845421959,0.7918911813721063
0.8300000000000001,0.9846153846153847,0.7564102564102564,0.8707482993197279,0.924187725631769,0.8705128205128205,6,57,0.015384615384615385,0.24358974358974358,0.320399845421959,0.7919440089441183
0.8400000000000001,0.9846153846153847,0.7735042735042735,0.8787185354691075,0.9286577992744861,0.879059829059829,6,53,0.015384615384615385,0.2264957264957265,0.320399845421959,0.7997929613958389
0.85,0.982051282051282,0.7735042735042735,0.8784403669724771,0.927360774818402,0.8777777777777778,7,53,0.017948717948717947,0.2264957264957265,0.320399845421959,0.7978900157862651
